"材料品番","材料名","単位","ID"
"959960","LBLｾﾝｼﾞｮｳｷﾌｳｲﾝｼｰﾙ ｱｵ ﾛｰﾙ","EA","2263"
"990090","LBL ｽﾄﾛﾝｸﾞﾘｷｯﾄﾞ 20Lﾛｰﾙ","EA","2264"
"920790","BTL 20L ﾍﾝﾍﾟｲﾅﾁｭﾗﾙ（ﾊﾞｰｼﾞﾝ","EA","2265"
"990080","LBL ｽﾄﾛﾝｸﾞﾘｷｯﾄﾞ 10Lﾛｰﾙ","EA","2266"
"958955","LBLｾﾝｼﾞｮｳｷﾌｳｲﾝｼｰﾙ ｱｵ ｼｰﾄ","EA","2267"
"2287578","TPL 共通ﾊﾟﾚｯﾄ積用･段ﾊﾟｯﾄ","EA","2268"
"2886351","CAP KC50420(10･12.5L共用)","EA","2269"
"4550499","BI ﾌﾟﾛｽﾍﾟｼｬﾙ ﾐﾗｺｰﾙ","KG","2270"
"920780","BTL 10L ﾍﾝﾍﾟｲﾅﾁｭﾗﾙ（ﾊﾞｰｼﾞﾝ","EA","2271"
"963330","FLM BIB 18Lﾊﾟﾜ-ｼｭﾘﾝｸ13280=20ﾎﾝ","EA","2272"
"3020103","OTH共通BIB用PPﾊﾞﾝﾄﾞ(ｱｵ)","EA","2273"
"990070","LBL ｸﾞﾘｰﾝF 18L BIB","EA","2274"
"2885586","CTN BIB 共通ｻｲﾄﾞﾋﾟｰｽ ﾛｺﾞ無","EA","2275"
"962170","POU共通BIBﾊﾞｯｸ+ﾌﾟﾙﾘﾝｸﾞｷｬｯﾌﾟ","EA","2276"
